,filename,user0,user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16,user17,user18,user19,user20,user21,user22,user23,user24,user25,user26,user27,user28,user29,user30,user31,user32,user33,user34,user35,user36,user37,user38,user39,user40,user41,user42,user43,user44,user45,user46,user47,user48,user49,user50,user51,user52,user53,user54,user55,user56,user57,user58,user59,user60,user61
0,snippet1,5.0,5.0,4.0,2.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,4.0,3.0,1.0,4.0,2.0,2.0,3.0,3.0,6.0,1.0,5.0,3.0,1.0,4.0,1.0,1.0,7.0,1.0,3.0,1.0,6.0,3.0,0.0,4.0,7.0,2.0,7.0,2.0,1.0,2.0,1.0,4.0,1.0,3.0,5.0,5.0,4.0,3.0,1.0,3.0,3.0,0.0,4.0,8.0,10.0,2.0,5.0
1,snippet2,1.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,5.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,7.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,4.0,2.0,1.0,0.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,8.0,5.0,1.0,5.0
2,snippet3,10.0,8.0,7.0,8.0,8.0,10.0,9.0,6.0,8.0,8.0,10.0,10.0,9.0,5.0,8.0,7.0,7.0,10.0,8.0,5.0,6.0,9.0,9.0,9.0,5.0,9.0,3.0,9.0,9.0,4.0,9.0,10.0,10.0,9.0,1.0,10.0,7.0,6.0,10.0,9.0,5.0,10.0,8.0,2.0,8.0,4.0,9.0,7.0,7.0,0.0,7.0,9.0,10.0,10.0,10.0,8.0,7.0,8.0,10.0,4.0,7.0,7.0
3,snippet4,10.0,8.0,7.0,8.0,9.0,8.0,5.0,8.0,9.0,5.0,9.0,10.0,9.0,3.0,1.0,8.0,8.0,9.0,5.0,7.0,9.0,8.0,9.0,9.0,4.0,3.0,4.0,3.0,8.0,6.0,8.0,9.0,10.0,6.0,7.0,9.0,8.0,3.0,8.0,2.0,8.0,10.0,7.0,2.0,5.0,4.0,6.0,4.0,5.0,0.0,7.0,8.0,6.0,8.0,9.0,7.0,7.0,0.0,6.0,9.0,8.0,7.0
4,snippet5,8.0,8.0,6.0,8.0,9.0,8.0,5.0,6.0,9.0,5.0,4.0,10.0,7.0,2.0,1.0,7.0,8.0,9.0,0.0,4.0,10.0,5.0,8.0,9.0,5.0,5.0,5.0,3.0,9.0,6.0,7.0,9.0,8.0,4.0,4.0,9.0,10.0,3.0,8.0,2.0,4.0,10.0,9.0,1.0,8.0,4.0,6.0,8.0,6.0,0.0,0.0,9.0,5.0,7.0,9.0,0.0,8.0,0.0,10.0,0.0,8.0,7.0
5,snippet6,7.0,3.0,6.0,6.0,7.0,8.0,2.0,4.0,6.0,3.0,2.0,5.0,8.0,1.0,1.0,4.0,4.0,7.0,0.0,5.0,8.0,7.0,4.0,3.0,3.0,7.0,6.0,4.0,7.0,5.0,5.0,7.0,9.0,4.0,5.0,6.0,5.0,8.0,5.0,3.0,2.0,9.0,5.0,2.0,4.0,6.0,7.0,3.0,4.0,0.0,0.0,8.0,6.0,6.0,4.0,0.0,0.0,0.0,9.0,0.0,7.0,6.0
6,snippet7,8.0,9.0,7.0,6.0,8.0,4.0,5.0,0.0,7.0,2.0,5.0,6.0,8.0,1.0,1.0,4.0,7.0,7.0,0.0,4.0,10.0,4.0,6.0,6.0,5.0,6.0,5.0,4.0,8.0,6.0,4.0,8.0,7.0,6.0,7.0,7.0,8.0,9.0,6.0,5.0,4.0,9.0,8.0,3.0,5.0,6.0,7.0,7.0,5.0,0.0,0.0,9.0,4.0,6.0,3.0,0.0,0.0,0.0,8.0,0.0,6.0,6.0
7,snippet8,10.0,9.0,9.0,6.0,6.0,8.0,6.0,0.0,6.0,7.0,0.0,5.0,9.0,2.0,7.0,6.0,10.0,8.0,0.0,4.0,8.0,8.0,5.0,6.0,6.0,4.0,5.0,3.0,8.0,5.0,6.0,10.0,9.0,5.0,5.0,8.0,8.0,6.0,7.0,7.0,4.0,10.0,9.0,2.0,5.0,6.0,8.0,7.0,3.0,0.0,0.0,7.0,7.0,5.0,4.0,0.0,0.0,0.0,10.0,0.0,7.0,7.0
8,snippet9,6.0,4.0,1.0,6.0,3.0,3.0,6.0,0.0,5.0,7.0,0.0,9.0,3.0,2.0,9.0,10.0,3.0,3.0,0.0,7.0,7.0,4.0,7.0,2.0,5.0,10.0,4.0,7.0,6.0,4.0,7.0,10.0,5.0,5.0,4.0,7.0,4.0,10.0,3.0,9.0,4.0,6.0,9.0,2.0,8.0,0.0,8.0,8.0,2.0,0.0,0.0,7.0,10.0,3.0,4.0,0.0,0.0,0.0,10.0,0.0,4.0,8.0
9,snippet10,9.0,6.0,9.0,6.0,6.0,8.0,8.0,0.0,5.0,6.0,0.0,8.0,7.0,2.0,3.0,8.0,9.0,8.0,0.0,6.0,10.0,8.0,7.0,7.0,6.0,6.0,4.0,4.0,9.0,6.0,6.0,9.0,10.0,7.0,3.0,8.0,6.0,3.0,6.0,8.0,6.0,9.0,6.0,2.0,7.0,0.0,7.0,3.0,5.0,0.0,0.0,8.0,9.0,4.0,7.0,0.0,0.0,0.0,6.0,0.0,6.0,8.0
10,snippet11,7.0,6.0,4.0,7.0,4.0,7.0,8.0,0.0,6.0,7.0,0.0,9.0,7.0,0.0,3.0,8.0,4.0,9.0,0.0,6.0,0.0,8.0,5.0,4.0,7.0,9.0,3.0,5.0,8.0,4.0,7.0,10.0,8.0,5.0,6.0,8.0,3.0,10.0,6.0,7.0,5.0,7.0,5.0,2.0,7.0,0.0,7.0,8.0,4.0,0.0,0.0,8.0,9.0,5.0,8.0,0.0,0.0,0.0,10.0,0.0,5.0,6.0
11,snippet12,9.0,9.0,8.0,7.0,5.0,7.0,9.0,0.0,5.0,6.0,0.0,9.0,10.0,0.0,3.0,6.0,10.0,8.0,0.0,8.0,0.0,8.0,6.0,5.0,8.0,1.0,8.0,6.0,9.0,3.0,3.0,10.0,10.0,4.0,8.0,7.0,8.0,9.0,9.0,5.0,5.0,9.0,6.0,3.0,8.0,0.0,7.0,4.0,7.0,0.0,0.0,10.0,7.0,3.0,6.0,0.0,0.0,0.0,4.0,0.0,3.0,6.0
12,snippet13,7.0,8.0,3.0,7.0,6.0,8.0,9.0,0.0,4.0,6.0,0.0,9.0,0.0,0.0,8.0,6.0,5.0,0.0,0.0,7.0,0.0,4.0,7.0,3.0,6.0,7.0,6.0,3.0,8.0,4.0,0.0,10.0,10.0,6.0,8.0,10.0,7.0,10.0,7.0,7.0,7.0,7.0,5.0,2.0,8.0,0.0,6.0,9.0,4.0,0.0,0.0,9.0,10.0,2.0,5.0,0.0,0.0,0.0,7.0,0.0,8.0,9.0
13,snippet14,7.0,6.0,10.0,8.0,5.0,7.0,8.0,0.0,6.0,4.0,0.0,10.0,0.0,0.0,6.0,5.0,8.0,0.0,0.0,6.0,0.0,7.0,8.0,3.0,8.0,2.0,6.0,4.0,9.0,6.0,0.0,9.0,6.0,5.0,8.0,6.0,7.0,10.0,5.0,3.0,6.0,8.0,8.0,2.0,8.0,0.0,5.0,3.0,8.0,0.0,0.0,9.0,5.0,5.0,4.0,0.0,0.0,0.0,9.0,0.0,7.0,8.0
14,snippet15,6.0,5.0,8.0,8.0,3.0,7.0,6.0,0.0,5.0,7.0,0.0,10.0,0.0,0.0,3.0,7.0,8.0,0.0,0.0,7.0,0.0,8.0,6.0,5.0,7.0,5.0,7.0,7.0,6.0,4.0,0.0,10.0,7.0,7.0,6.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,3.0,7.0,0.0,7.0,5.0,7.0,0.0,0.0,8.0,7.0,6.0,5.0,0.0,0.0,0.0,7.0,0.0,2.0,6.0
15,snippet16,5.0,2.0,4.0,9.0,1.0,8.0,5.0,0.0,7.0,5.0,0.0,9.0,0.0,0.0,1.0,4.0,6.0,0.0,0.0,4.0,0.0,8.0,7.0,1.0,7.0,2.0,10.0,10.0,9.0,4.0,0.0,7.0,10.0,5.0,6.0,5.0,7.0,10.0,6.0,6.0,8.0,5.0,9.0,4.0,5.0,0.0,6.0,7.0,3.0,0.0,0.0,7.0,4.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,1.0,6.0
16,snippet17,5.0,5.0,1.0,6.0,6.0,8.0,3.0,0.0,5.0,5.0,0.0,7.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,5.0,0.0,7.0,6.0,5.0,6.0,5.0,8.0,4.0,6.0,3.0,0.0,6.0,4.0,6.0,6.0,4.0,1.0,9.0,4.0,6.0,4.0,6.0,7.0,4.0,4.0,0.0,7.0,3.0,2.0,0.0,0.0,7.0,6.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,7.0,7.0
17,snippet18,7.0,8.0,6.0,7.0,3.0,8.0,9.0,0.0,5.0,5.0,0.0,9.0,0.0,0.0,6.0,5.0,7.0,0.0,0.0,8.0,0.0,8.0,7.0,3.0,6.0,10.0,7.0,8.0,7.0,7.0,0.0,10.0,7.0,8.0,6.0,8.0,4.0,10.0,3.0,8.0,7.0,5.0,8.0,4.0,8.0,0.0,9.0,4.0,8.0,0.0,0.0,8.0,10.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,7.0,8.0
18,snippet19,7.0,8.0,7.0,6.0,5.0,7.0,6.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,3.0,4.0,9.0,0.0,0.0,5.0,0.0,8.0,6.0,9.0,5.0,5.0,7.0,3.0,8.0,5.0,0.0,10.0,9.0,7.0,6.0,6.0,4.0,5.0,4.0,6.0,5.0,6.0,7.0,4.0,7.0,0.0,7.0,6.0,7.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,6.0,7.0
19,snippet20,8.0,8.0,8.0,6.0,5.0,8.0,9.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,7.0,6.0,10.0,0.0,0.0,6.0,0.0,9.0,8.0,5.0,7.0,3.0,7.0,8.0,8.0,5.0,0.0,10.0,6.0,7.0,0.0,7.0,7.0,5.0,6.0,7.0,6.0,7.0,6.0,5.0,7.0,0.0,7.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,6.0,5.0
20,snippet21,5.0,3.0,7.0,6.0,5.0,4.0,2.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,0.0,0.0,5.0,0.0,6.0,5.0,5.0,7.0,2.0,7.0,3.0,6.0,6.0,0.0,6.0,5.0,4.0,0.0,5.0,9.0,7.0,4.0,5.0,4.0,8.0,5.0,3.0,7.0,0.0,7.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,6.0,5.0
21,snippet22,7.0,7.0,6.0,7.0,7.0,8.0,7.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,0.0,0.0,4.0,0.0,4.0,6.0,3.0,5.0,3.0,6.0,8.0,5.0,5.0,0.0,0.0,9.0,5.0,0.0,6.0,9.0,9.0,3.0,6.0,0.0,7.0,8.0,4.0,6.0,0.0,6.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,8.0,7.0
22,snippet23,10.0,8.0,3.0,9.0,6.0,7.0,8.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,2.0,6.0,5.0,0.0,0.0,7.0,0.0,9.0,7.0,6.0,8.0,0.0,9.0,6.0,8.0,7.0,0.0,0.0,7.0,6.0,0.0,7.0,9.0,10.0,8.0,9.0,0.0,6.0,4.0,5.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,1.0,8.0
23,snippet24,6.0,8.0,7.0,7.0,5.0,4.0,5.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,0.0,0.0,6.0,0.0,6.0,7.0,10.0,7.0,0.0,9.0,6.0,8.0,3.0,0.0,0.0,10.0,3.0,0.0,6.0,9.0,3.0,6.0,5.0,0.0,7.0,6.0,4.0,7.0,0.0,6.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,1.0,6.0
24,snippet25,3.0,3.0,2.0,4.0,1.0,4.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,6.0,0.0,4.0,6.0,1.0,6.0,0.0,7.0,2.0,7.0,2.0,0.0,0.0,1.0,4.0,0.0,5.0,4.0,7.0,3.0,5.0,0.0,5.0,3.0,3.0,7.0,0.0,5.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,2.0,6.0
25,snippet26,5.0,8.0,8.0,7.0,7.0,7.0,7.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,0.0,0.0,6.0,0.0,8.0,6.0,10.0,8.0,0.0,9.0,8.0,8.0,6.0,0.0,0.0,0.0,4.0,0.0,6.0,9.0,8.0,7.0,4.0,0.0,7.0,8.0,3.0,8.0,0.0,6.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,1.0,6.0
26,snippet27,6.0,7.0,10.0,7.0,5.0,0.0,9.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,8.0,7.0,8.0,0.0,0.0,7.0,0.0,9.0,7.0,9.0,7.0,0.0,5.0,8.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,6.0,7.0,7.0,0.0,6.0,7.0,4.0,8.0,0.0,10.0,0.0,8.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,1.0,8.0
27,snippet28,6.0,2.0,2.0,6.0,5.0,0.0,4.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,6.0,7.0,3.0,0.0,0.0,6.0,0.0,9.0,5.0,3.0,6.0,0.0,5.0,8.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,10.0,7.0,7.0,0.0,5.0,6.0,3.0,8.0,0.0,10.0,0.0,5.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,2.0,8.0
28,snippet29,5.0,4.0,2.0,6.0,5.0,0.0,4.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,7.0,5.0,0.0,0.0,5.0,0.0,10.0,4.0,3.0,5.0,0.0,5.0,8.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,4.0,4.0,0.0,8.0,6.0,5.0,6.0,0.0,5.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,3.0,6.0
29,snippet30,4.0,5.0,0.0,0.0,5.0,0.0,3.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,6.0,5.0,0.0,0.0,4.0,0.0,7.0,5.0,1.0,5.0,0.0,5.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,5.0,4.0,0.0,6.0,3.0,4.0,3.0,0.0,6.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,5.0
30,snippet31,4.0,4.0,1.0,0.0,3.0,0.0,6.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,0.0,0.0,3.0,0.0,4.0,7.0,3.0,5.0,0.0,6.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,6.0,0.0,2.0,2.0,2.0,6.0,0.0,4.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,6.0
31,snippet32,7.0,9.0,5.0,0.0,5.0,0.0,4.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,6.0,5.0,8.0,0.0,0.0,5.0,0.0,7.0,6.0,7.0,6.0,0.0,7.0,7.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,4.0,4.0,6.0,0.0,7.0,4.0,4.0,8.0,0.0,7.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,8.0,6.0
32,snippet33,4.0,8.0,7.0,0.0,6.0,0.0,8.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,8.0,0.0,0.0,4.0,0.0,7.0,4.0,8.0,8.0,0.0,5.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,8.0,6.0,4.0,0.0,9.0,4.0,5.0,8.0,0.0,6.0,0.0,9.0,0.0,0.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,8.0,7.0
33,snippet34,5.0,5.0,6.0,0.0,5.0,0.0,8.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,8.0,4.0,6.0,0.0,0.0,3.0,0.0,8.0,3.0,5.0,8.0,0.0,9.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,10.0,7.0,5.0,0.0,5.0,4.0,4.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,5.0,7.0
34,snippet35,6.0,7.0,5.0,0.0,4.0,0.0,7.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,7.0,0.0,0.0,6.0,0.0,9.0,5.0,3.0,8.0,0.0,7.0,7.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,3.0,8.0,6.0,0.0,6.0,5.0,5.0,8.0,0.0,7.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,9.0,0.0,8.0,7.0
35,snippet36,4.0,8.0,1.0,0.0,8.0,0.0,7.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,5.0,6.0,5.0,0.0,0.0,5.0,0.0,8.0,6.0,5.0,6.0,0.0,6.0,8.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,1.0,6.0,6.0,0.0,6.0,6.0,4.0,4.0,0.0,6.0,0.0,8.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,4.0,8.0
36,snippet37,5.0,3.0,3.0,0.0,9.0,0.0,5.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,9.0,7.0,5.0,0.0,0.0,5.0,0.0,8.0,5.0,4.0,5.0,0.0,5.0,8.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,5.0,8.0,0.0,2.0,7.0,4.0,8.0,0.0,3.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,6.0,5.0
37,snippet38,5.0,6.0,1.0,0.0,7.0,0.0,8.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,9.0,5.0,4.0,0.0,0.0,4.0,0.0,6.0,8.0,1.0,7.0,0.0,7.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,5.0,7.0,0.0,4.0,4.0,3.0,6.0,0.0,6.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,1.0,6.0
