,filename,snippet rating
0,snippet1,1.0
1,snippet2,1.0
2,snippet3,10.0
3,snippet4,8.0
4,snippet5,8.0
5,snippet6,4.0
6,snippet7,6.0
7,snippet8,6.0
8,snippet9,4.0
9,snippet10,6.0
10,snippet11,7.0
11,snippet12,8.0
12,snippet13,7.0
13,snippet14,8.0
14,snippet15,7.0
15,snippet16,4.0
16,snippet17,6.0
17,snippet18,8.0
18,snippet19,6.0
19,snippet20,7.0
20,snippet21,5.0
21,snippet22,7.0
22,snippet23,7.0
23,snippet24,7.0
24,snippet25,1.0
25,snippet26,8.0
26,snippet27,7.0
27,snippet28,6.0
28,snippet29,5.0
29,snippet30,4.0
30,snippet31,1.0
31,snippet32,7.0
32,snippet33,8.0
33,snippet34,5.0
34,snippet35,7.0
35,snippet36,6.0
36,snippet37,5.0
37,snippet38,6.0
38,snippet39,4.0
39,snippet40,3.0
40,snippet41,7.0
41,snippet42,6.0
42,snippet43,8.0
43,snippet44,3.0
44,snippet45,7.0
45,snippet46,6.0
46,snippet47,4.0
47,snippet48,7.0
48,snippet49,3.0
49,snippet50,8.0
50,snippet51,8.0
51,snippet52,6.0
52,snippet53,7.0
53,snippet54,5.0
54,snippet55,8.0
55,snippet56,5.0
56,snippet57,6.0
57,snippet58,8.0
58,snippet59,4.0
59,snippet60,7.0
60,snippet61,7.0
61,snippet62,5.0
62,snippet63,8.0
63,snippet64,6.0
64,snippet65,5.0
65,snippet66,6.0
66,snippet67,6.0
67,snippet68,5.0
68,snippet69,5.0
69,snippet70,7.0
70,snippet71,8.0
71,snippet72,7.0
72,snippet73,7.0
73,snippet74,1.0
74,snippet75,7.0
75,snippet76,6.0
76,snippet77,4.0
77,snippet78,7.0
78,snippet79,8.0
79,snippet80,6.0
80,snippet81,6.0
81,snippet82,6.0
82,snippet83,7.0
83,snippet84,7.0
84,snippet85,4.0
85,snippet86,6.0
86,snippet87,7.0
87,snippet88,5.0
88,snippet89,6.0
89,snippet90,4.0
90,snippet91,5.0
91,snippet92,3.0
92,snippet93,5.0
93,snippet94,8.0
94,snippet95,6.0
95,snippet96,7.0
96,snippet97,6.0
97,snippet98,7.0
98,snippet99,6.0
99,snippet100,4.0
