"","V1","V2","V3","V4","V5"
"(Intercept)",1.08072194967676,0.986324822632264,1.02553139070744,1.02553139070743,0.960761737370229
"S.E.",0.0641538322867157,0.0630588059486612,0.0645119303234518,0.0645119303234519,0.0718460550110024
"tone_eth",-0.417519362710891,-0.209625669678818,-0.330511191656174,-0.330511191656174,-0.31422784198394
"S.E.",0.123557402801115,0.12296262883739,0.125503402800173,0.125503402800173,0.12377909941022
"emo",NA,-0.194162065703916,NA,-0.104783625060678,-0.120335760377601
"S.E.",NA,0.0228845505651919,NA,0.0281161380532178,0.02823579167857
"tone_eth:emo",NA,0.0640752397325002,NA,0.0642340620630283,0.069592840220864
"S.E.",NA,0.0383677428080471,NA,0.0368491301941822,0.0369217761309796
"p_harm_res",NA,NA,NA,-0.19969747485371,-0.178724083077366
"S.E.",NA,NA,NA,0.035821672597805,0.0369350473619307
"p_harm_res:emo",NA,NA,NA,NA,0.0214671580133655
"S.E.",NA,NA,NA,NA,0.0113221199444302
