ID,qualityrating,helpfulrating,friendlyrating,dearjake,answer,days
1,77,77,75,0,1,19
2,32,24,27,0,1,11
3,75,100,75,1,1,3
4,26,26,26,1,0,19
5,63,83,61,1,0,6
6,6,10,10,1,1,24
7,58,76,52,1,0,26
8,74,76,76,1,0,2
9,43,76,51,0,1,26
10,56,68,57,1,1,3
11,59,62,52,0,1,15
12,51,76,77,0,0,18
13,51,90,27,1,1,28
14,50,75,25,0,1,22
15,48,51,45,0,0,22
16,4,7,3,0,1,25
17,NA,NA,NA,0,1,18
18,38,42,58,1,1,13
19,76,76,51,1,1,26
20,99,100,100,1,1,14
21,18,76,35,0,1,12
22,76,91,42,0,1,8
23,39,42,44,0,0,24
24,55,75,52,0,0,5
25,76,51,51,0,1,1
26,1,10,0,1,0,21
27,53,51,51,1,0,2
28,70,64,67,1,1,10
29,75,75,67,0,0,1
30,16,36,25,0,1,22
31,25,48,41,1,1,30
32,41,51,50,1,1,29
33,18,34,19,0,0,8
34,43,55,66,1,1,26
35,60,65,50,0,0,12
36,51,54,39,1,1,20
37,5,6,9,1,1,27
38,77,77,77,0,0,24
39,1,1,1,1,1,3
40,70,75,52,0,1,5
41,52,52,53,1,0,22
42,51,63,76,1,0,19
43,50,99,87,1,0,28
44,59,65,80,1,0,9
45,50,76,50,0,0,30
46,27,26,26,0,1,11
47,30,73,47,0,0,8
48,0,0,0,0,1,20
49,15,34,4,1,1,22
50,50,70,50,0,0,2
51,26,51,26,1,0,23
52,26,50,21,1,0,2
53,26,32,19,0,1,7
54,79,76,76,0,0,4
55,94,95,95,1,0,11
56,51,85,51,0,0,7
57,68,76,64,0,0,25
58,15,13,3,1,0,19
59,20,23,20,1,0,28
60,45,80,50,1,1,14
61,47,43,45,0,1,23
62,85,99,54,1,1,1
63,76,76,98,0,1,14
64,51,64,36,0,0,7
65,23,51,11,0,1,30
66,23,41,52,1,0,19
67,20,25,50,0,1,22
68,99,100,99,1,1,27
69,52,66,35,0,1,2
