Email,rating,invitefollowup,namedsalut,contactinfo,words,automated,question.answered,friendly,content
501,60.916668,0,1,0,13,0,0,Greeting,Neither
502,52.454544,1,1,0,27,0,1,Greeting + Invite,Answer
503,43.599998,0,1,0,20,0,0,Greeting,Neither
504,51.142857,0,1,0,46,0,1,Greeting,Answer
505,72.900002,0,1,0,37,0,1,Greeting,Answer
506,87.285713,0,1,0,46,0,1,Greeting,Answer
507,71.36364,1,1,0,119,0,1,Greeting + Invite,Answer
508,72.263161,0,0,0,38,0,1,Neither,Answer
509,84.588234,0,1,0,158,0,1,Greeting,Answer
510,70.047623,0,1,1,41,0,1,Greeting,Answer + Contact
511,89.944443,1,0,0,121,0,1,Invite,Answer
512,52.692307,0,1,0,42,0,0,Greeting,Neither
513,72.599998,0,1,1,34,0,1,Greeting,Answer + Contact
514,45.090908,0,1,0,47,0,0,Greeting,Neither
515,75.63636,0,1,0,81,0,1,Greeting,Answer
516,76.933334,0,1,0,42,0,1,Greeting,Answer
517,68.928574,1,0,0,50,0,1,Invite,Answer
518,82.428574,1,1,0,47,0,1,Greeting + Invite,Answer
519,57.450001,0,1,0,120,0,1,Greeting,Answer
520,57.846153,0,1,0,53,0,0,Greeting,Neither
521,71.307693,1,0,0,243,0,1,Invite,Answer
522,62.833332,0,1,0,59,0,0,Greeting,Neither
523,64.699997,0,1,0,60,0,0,Greeting,Neither
524,55.875,0,1,0,41,0,1,Greeting,Answer
525,75.428574,0,0,0,52,0,0,Neither,Neither
526,91.949997,0,1,0,67,0,1,Greeting,Answer
527,86.526314,1,1,1,139,0,1,Greeting + Invite,Answer + Contact
528,72.666664,1,0,0,100,0,1,Invite,Answer
529,33.727272,0,1,0,19,0,0,Greeting,Neither
530,76.75,0,1,1,37,0,1,Greeting,Answer + Contact
531,12.222222,0,0,0,6,0,0,Neither,Neither
532,36.357143,0,1,0,33,0,0,Greeting,Neither
533,89.92308,1,1,0,71,0,1,Greeting + Invite,Answer
534,71.5,0,1,1,58,0,0,Greeting,Contact info
535,84.53846,1,1,0,171,0,1,Greeting + Invite,Answer
536,72.307693,0,1,0,26,0,0,Greeting,Neither
537,71.529411,0,1,0,38,0,0,Greeting,Neither
538,80.75,0,1,1,83,0,1,Greeting,Answer + Contact
539,55.5625,0,1,0,97,0,1,Greeting,Answer
540,81.916664,0,1,0,145,0,1,Greeting,Answer
541,59.75,0,1,1,65,0,1,Greeting,Answer + Contact
542,64.199997,0,1,0,26,0,0,Greeting,Neither
543,66.666664,0,1,0,82,0,1,Greeting,Answer
544,66.75,0,0,0,23,0,1,Neither,Answer
545,50.083332,0,0,0,23,0,1,Neither,Answer
546,74.5,0,0,1,849,0,1,Neither,Answer + Contact
547,28.75,0,1,0,16,0,0,Greeting,Neither
548,50.700001,0,0,0,36,0,1,Neither,Answer
549,63.153847,0,1,0,62,0,0,Greeting,Neither
550,75.214287,1,1,0,193,0,1,Greeting + Invite,Answer
551,73.416664,1,1,0,50,0,0,Greeting + Invite,Neither
552,48.909092,1,0,0,117,0,1,Invite,Answer
553,75,1,1,1,38,0,1,Greeting + Invite,Answer + Contact
554,80.692307,1,1,0,94,0,1,Greeting + Invite,Answer
555,76.727272,1,1,0,106,0,1,Greeting + Invite,Answer
556,37.5,0,0,0,19,0,0,Neither,Neither
557,81.916664,1,1,0,86,0,1,Greeting + Invite,Answer
558,79,0,0,1,49,0,1,Neither,Answer + Contact
559,31.933332,0,1,0,26,0,0,Greeting,Neither
560,58.166668,0,0,1,67,0,1,Neither,Answer + Contact
561,75.800003,1,1,0,458,0,1,Greeting + Invite,Answer
562,69,1,1,0,74,0,1,Greeting + Invite,Answer
563,48.23077,0,1,0,15,0,0,Greeting,Neither
564,93.444443,1,1,0,96,0,1,Greeting + Invite,Answer
565,61.700001,0,1,0,26,0,0,Greeting,Neither
566,71.25,0,1,0,15,0,0,Greeting,Neither
567,50.384617,0,1,0,22,0,0,Greeting,Neither
568,65.875,1,1,0,30,0,1,Greeting + Invite,Answer
569,71.36364,1,1,0,74,0,1,Greeting + Invite,Answer
570,61.714287,0,0,0,12,0,1,Neither,Answer
571,69.375,0,0,0,42,0,0,Neither,Neither
572,77.714287,1,0,0,2019,0,1,Invite,Answer
573,78,0,1,0,958,0,1,Greeting,Answer
574,68.071426,0,1,0,40,0,1,Greeting,Answer
575,70.125,0,0,0,17,0,1,Neither,Answer
576,57.764706,0,1,1,33,0,1,Greeting,Answer + Contact
577,76.916664,1,1,0,89,0,1,Greeting + Invite,Answer
578,53.041668,0,1,1,36,0,1,Greeting,Answer + Contact
579,53.533333,1,0,0,41,0,0,Invite,Neither
580,69.333336,0,1,0,68,0,1,Greeting,Answer
581,45.357143,0,0,0,43,0,1,Neither,Answer
582,73.916664,0,0,0,41,0,0,Neither,Neither
583,75.666664,0,1,0,63,0,1,Greeting,Answer
584,82.25,1,1,0,80,0,1,Greeting + Invite,Answer
585,71,1,1,1,66,0,1,Greeting + Invite,Answer + Contact
586,52.18182,0,1,0,25,0,0,Greeting,Neither
587,33.18182,0,0,0,9,0,0,Neither,Neither
588,27.200001,0,1,0,54,0,0,Greeting,Neither
589,84.545456,0,1,0,72,0,1,Greeting,Answer
590,74.5,1,1,0,57,0,0,Greeting + Invite,Neither
